Gene	mRNA	GN
SoyZH13_02G088500	SoyZH13_02G088500.m4	LOC107413542
SoyZH13_02G088500	SoyZH13_02G088500.m5	LOC107413542
SoyZH13_02G091602	SoyZH13_02G091602.m1	100803783
SoyZH13_02G091602	SoyZH13_02G091602.m2	100803783
SoyZH13_02G091602	SoyZH13_02G091602.m3	100803783
SoyZH13_02G092100	SoyZH13_02G092100.m1	11442133
SoyZH13_02G094600	SoyZH13_02G094600.m2	100803220
SoyZH13_02G094600	SoyZH13_02G094600.m3	100803220
SoyZH13_02G095600	SoyZH13_02G095600.m1	CRR42
SoyZH13_02G103700	SoyZH13_02G103700.m1	25492972
SoyZH13_02G103700	SoyZH13_02G103700.m2	25492972
SoyZH13_02G103700	SoyZH13_02G103700.m3	25492972
SoyZH13_02G103700	SoyZH13_02G103700.m5	25492972
SoyZH13_02G128400	SoyZH13_02G128400.m2	100812120
SoyZH13_02G128501	SoyZH13_02G128501.m1	100812866
SoyZH13_02G128501	SoyZH13_02G128501.m2	100812866
SoyZH13_02G128501	SoyZH13_02G128501.m3	100812866
SoyZH13_02G128501	SoyZH13_02G128501.m4	100812866
SoyZH13_02G128501	SoyZH13_02G128501.m5	100812866
SoyZH13_02G138600	SoyZH13_02G138600.m1	100787886
SoyZH13_02G138600	SoyZH13_02G138600.m2	100787886
SoyZH13_02G144900	SoyZH13_02G144900.m1	LSM4
SoyZH13_02G144900	SoyZH13_02G144900.m2	LSM4
SoyZH13_02G153400	SoyZH13_02G153400.m1	100797756
SoyZH13_02G153400	SoyZH13_02G153400.m2	100797756
SoyZH13_02G153400	SoyZH13_02G153400.m3	100797756
SoyZH13_02G153400	SoyZH13_02G153400.m4	100797756
SoyZH13_02G157500	SoyZH13_02G157500.m1	102668842
SoyZH13_02G158603	SoyZH13_02G158603.m1	POL
SoyZH13_02G171602	SoyZH13_02G171602.m1	AGL15
SoyZH13_02G179200	SoyZH13_02G179200.m2	CT268
SoyZH13_02G182000	SoyZH13_02G182000.m1	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m2	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m3	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m4	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m5	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m6	100775395
SoyZH13_02G182000	SoyZH13_02G182000.m7	100775395
SoyZH13_02G184500	SoyZH13_02G184500.m1	100785568
SoyZH13_02G197502	SoyZH13_02G197502.m1	TFIIAGAMMA
SoyZH13_02G215800	SoyZH13_02G215800.m4	11434409
SoyZH13_02G238900	SoyZH13_02G238900.m1	LOC107475495
SoyZH13_02G238900	SoyZH13_02G238900.m2	LOC107475495
SoyZH13_02G248600	SoyZH13_02G248600.m1	11433365
SoyZH13_02G260000	SoyZH13_02G260000.m1	11426616
SoyZH13_02G265100	SoyZH13_02G265100.m1	LOC106764319
SoyZH13_02G265100	SoyZH13_02G265100.m2	LOC106764319
SoyZH13_02G265100	SoyZH13_02G265100.m3	LOC106764319
SoyZH13_02G265100	SoyZH13_02G265100.m4	LOC106764319
SoyZH13_02G266200	SoyZH13_02G266200.m1	COQ3
SoyZH13_02G266200	SoyZH13_02G266200.m2	COQ3
SoyZH13_02G271300	SoyZH13_02G271300.m1	MOCS3
SoyZH13_02G272900	SoyZH13_02G272900.m1	100807139
SoyZH13_02G286200	SoyZH13_02G286200.m1	100798208
SoyZH13_03G002500	SoyZH13_03G002500.m1	LOC113864705
SoyZH13_03G002500	SoyZH13_03G002500.m2	LOC113864705
SoyZH13_03G002500	SoyZH13_03G002500.m3	LOC113864705
SoyZH13_03G003900	SoyZH13_03G003900.m1	LOC107844040
SoyZH13_03G009800	SoyZH13_03G009800.m1	PAT
SoyZH13_03G011300	SoyZH13_03G011300.m2	100777664
SoyZH13_03G020003	SoyZH13_03G020003.m1	LOC106778958
SoyZH13_03G026100	SoyZH13_03G026100.m1	GCP1
SoyZH13_03G048213	SoyZH13_03G048213.m1	LOC106780054
SoyZH13_03G051700	SoyZH13_03G051700.m1	THI1
SoyZH13_03G052200	SoyZH13_03G052200.m1	STR10
SoyZH13_03G053900	SoyZH13_03G053900.m1	ADH3
SoyZH13_03G053900	SoyZH13_03G053900.m2	ADH3
SoyZH13_03G066801	SoyZH13_03G066801.m1	100819673
SoyZH13_03G090501	SoyZH13_03G090501.m1	RPL31
SoyZH13_03G104600	SoyZH13_03G104600.m1	LOC108989942
SoyZH13_03G109300	SoyZH13_03G109300.m1	PPD6
SoyZH13_03G109300	SoyZH13_03G109300.m2	PPD6
SoyZH13_03G119300	SoyZH13_03G119300.m1	11422213
SoyZH13_03G122900	SoyZH13_03G122900.m1	PGA
SoyZH13_03G124000	SoyZH13_03G124000.m1	PURA
SoyZH13_03G136200	SoyZH13_03G136200.m1	100787886
SoyZH13_03G136200	SoyZH13_03G136200.m2	100787886
SoyZH13_03G136200	SoyZH13_03G136200.m3	100787886
SoyZH13_03G151400	SoyZH13_03G151400.m1	MED11
SoyZH13_03G151400	SoyZH13_03G151400.m2	MED11
SoyZH13_03G151400	SoyZH13_03G151400.m3	MED11
SoyZH13_03G158400	SoyZH13_03G158400.m1	LOC110767246
SoyZH13_03G160400	SoyZH13_03G160400.m1	25484038
SoyZH13_03G160400	SoyZH13_03G160400.m2	25484038
SoyZH13_03G160400	SoyZH13_03G160400.m3	25484038
SoyZH13_03G160400	SoyZH13_03G160400.m4	25484038
SoyZH13_03G168301	SoyZH13_03G168301.m1	100776360
SoyZH13_03G171800	SoyZH13_03G171800.m2	LOC108984779
SoyZH13_03G171800	SoyZH13_03G171800.m3	LOC108984779
SoyZH13_03G198700	SoyZH13_03G198700.m1	MCM7
SoyZH13_03G198700	SoyZH13_03G198700.m2	MCM7
SoyZH13_03G206800	SoyZH13_03G206800.m1	PHYA3
SoyZH13_03G206800	SoyZH13_03G206800.m2	PHYA3
SoyZH13_03G206800	SoyZH13_03G206800.m3	PHYA3
SoyZH13_03G206800	SoyZH13_03G206800.m4	PHYA3
SoyZH13_03G206800	SoyZH13_03G206800.m5	PHYA3
SoyZH13_03G206800	SoyZH13_03G206800.m6	PHYA3
SoyZH13_03G211900	SoyZH13_03G211900.m1	LOC107492169
SoyZH13_03G211900	SoyZH13_03G211900.m2	LOC107492169
SoyZH13_03G217600	SoyZH13_03G217600.m1	SE1358
SoyZH13_03G219500	SoyZH13_03G219500.m3	11420850
SoyZH13_04G002300	SoyZH13_04G002300.m1	NCS6
SoyZH13_04G007700	SoyZH13_04G007700.m1	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m2	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m3	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m4	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m5	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m6	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m7	LOC113864305
SoyZH13_04G007700	SoyZH13_04G007700.m8	LOC113864305
SoyZH13_04G009000	SoyZH13_04G009000.m1	DHN
SoyZH13_04G033800	SoyZH13_04G033800.m1	PETM
SoyZH13_04G033800	SoyZH13_04G033800.m2	PETM
SoyZH13_04G035000	SoyZH13_04G035000.m1	11431804
SoyZH13_04G035000	SoyZH13_04G035000.m2	11431804
SoyZH13_04G035000	SoyZH13_04G035000.m3	11431804
SoyZH13_04G035000	SoyZH13_04G035000.m4	11431804
SoyZH13_04G035000	SoyZH13_04G035000.m5	11431804
SoyZH13_04G048800	SoyZH13_04G048800.m1	LOC106764029
SoyZH13_04G061700	SoyZH13_04G061700.m1	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m2	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m3	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m4	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m5	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m6	TPR1
SoyZH13_04G061700	SoyZH13_04G061700.m7	TPR1
SoyZH13_04G081700	SoyZH13_04G081700.m1	PFK
SoyZH13_04G098300	SoyZH13_04G098300.m1	100779193
SoyZH13_04G098504	SoyZH13_04G098504.m1	ARM
SoyZH13_04G109400	SoyZH13_04G109400.m1	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m10	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m11	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m12	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m2	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m3	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m4	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m5	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m6	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m7	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m8	HEART
SoyZH13_04G109400	SoyZH13_04G109400.m9	HEART
SoyZH13_04G110500	SoyZH13_04G110500.m8	LOC103708520
SoyZH13_04G124001	SoyZH13_04G124001.m1	CESA1A
SoyZH13_04G133301	SoyZH13_04G133301.m1	PSAA
SoyZH13_04G137500	SoyZH13_04G137500.m1	4CL
SoyZH13_04G141400	SoyZH13_04G141400.m1	100807768
SoyZH13_04G141400	SoyZH13_04G141400.m2	100807768
SoyZH13_04G141400	SoyZH13_04G141400.m3	100807768
SoyZH13_04G141500	SoyZH13_04G141500.m1	100806707
SoyZH13_04G141500	SoyZH13_04G141500.m3	11423844
SoyZH13_04G146003	SoyZH13_04G146003.m1	HMA5
SoyZH13_04G146500	SoyZH13_04G146500.m1	HMG2
SoyZH13_04G147900	SoyZH13_04G147900.m8	100795900
SoyZH13_04G147900	SoyZH13_04G147900.m9	100795900
SoyZH13_04G151200	SoyZH13_04G151200.m1	11446575
SoyZH13_04G151200	SoyZH13_04G151200.m2	11446575
SoyZH13_04G151200	SoyZH13_04G151200.m3	11446575
SoyZH13_04G151200	SoyZH13_04G151200.m4	11446575
SoyZH13_04G151200	SoyZH13_04G151200.m5	11446575
SoyZH13_04G151600	SoyZH13_04G151600.m1	ENO3
SoyZH13_04G154600	SoyZH13_04G154600.m1	MYBP
SoyZH13_04G154600	SoyZH13_04G154600.m2	MYBP
SoyZH13_04G154600	SoyZH13_04G154600.m3	MYBP
SoyZH13_04G154600	SoyZH13_04G154600.m4	MYBP
SoyZH13_04G168500	SoyZH13_04G168500.m1	MGP1
SoyZH13_04G178900	SoyZH13_04G178900.m1	106798439
SoyZH13_04G178900	SoyZH13_04G178900.m2	106798439
SoyZH13_04G178900	SoyZH13_04G178900.m3	106798439
SoyZH13_04G178900	SoyZH13_04G178900.m4	106798439
SoyZH13_04G178900	SoyZH13_04G178900.m5	106798439
SoyZH13_04G178900	SoyZH13_04G178900.m6	106798439
SoyZH13_04G181600	SoyZH13_04G181600.m1	ACOT13
SoyZH13_04G181600	SoyZH13_04G181600.m2	ACOT13
SoyZH13_04G181600	SoyZH13_04G181600.m3	ACOT13
SoyZH13_04G181600	SoyZH13_04G181600.m4	ACOT13
SoyZH13_04G181600	SoyZH13_04G181600.m5	ACOT13
SoyZH13_04G184600	SoyZH13_04G184600.m1	11437239
SoyZH13_04G188700	SoyZH13_04G188700.m1	RP-S24E
SoyZH13_04G206200	SoyZH13_04G206200.m2	CPSHSP
SoyZH13_04G212900	SoyZH13_04G212900.m2	LOC113866355
SoyZH13_04G214500	SoyZH13_04G214500.m1	LOC109717863
SoyZH13_04G214500	SoyZH13_04G214500.m2	LOC109717863
SoyZH13_04G214500	SoyZH13_04G214500.m3	LOC109717863
SoyZH13_04G214500	SoyZH13_04G214500.m4	LOC109717863
SoyZH13_04G214500	SoyZH13_04G214500.m5	LOC109717863
SoyZH13_04G214500	SoyZH13_04G214500.m6	LOC109717863
SoyZH13_04G228900	SoyZH13_04G228900.m1	11412638
SoyZH13_05G009300	SoyZH13_05G009300.m1	MED17
SoyZH13_05G009300	SoyZH13_05G009300.m2	MED17
SoyZH13_05G009300	SoyZH13_05G009300.m3	MED17
SoyZH13_05G009300	SoyZH13_05G009300.m4	MED17
SoyZH13_05G027400	SoyZH13_05G027400.m1	11446575
SoyZH13_05G027400	SoyZH13_05G027400.m2	11446575
SoyZH13_05G027400	SoyZH13_05G027400.m3	11446575
SoyZH13_05G027400	SoyZH13_05G027400.m4	11446575
SoyZH13_05G027400	SoyZH13_05G027400.m5	11446575
SoyZH13_05G028100	SoyZH13_05G028100.m1	MQB2.8
SoyZH13_05G039000	SoyZH13_05G039000.m1	RAFS
SoyZH13_05G053600	SoyZH13_05G053600.m1	11409499
SoyZH13_05G053600	SoyZH13_05G053600.m2	11409499
SoyZH13_05G053600	SoyZH13_05G053600.m3	11409499
SoyZH13_05G053600	SoyZH13_05G053600.m4	11409499
SoyZH13_05G062700	SoyZH13_05G062700.m1	100819673
SoyZH13_05G066500	SoyZH13_05G066500.m1	25493568
SoyZH13_05G066500	SoyZH13_05G066500.m2	25493568
SoyZH13_05G086500	SoyZH13_05G086500.m1	PSBH
SoyZH13_05G087701	SoyZH13_05G087701.m1	PCNA
SoyZH13_05G117100	SoyZH13_05G117100.m1	LSM5
SoyZH13_05G119000	SoyZH13_05G119000.m1	11444988
SoyZH13_05G119300	SoyZH13_05G119300.m1	NPRB7
SoyZH13_05G119300	SoyZH13_05G119300.m2	NPRB7
SoyZH13_05G124200	SoyZH13_05G124200.m6	TRANK1
SoyZH13_05G127800	SoyZH13_05G127800.m1	LOC108987198
SoyZH13_05G139800	SoyZH13_05G139800.m1	RPS19
SoyZH13_05G149300	SoyZH13_05G149300.m1	CESA
SoyZH13_05G152900	SoyZH13_05G152900.m1	100801178
SoyZH13_05G152900	SoyZH13_05G152900.m2	100801178
SoyZH13_05G166800	SoyZH13_05G166800.m1	RPLW
SoyZH13_05G166800	SoyZH13_05G166800.m2	RPLW
SoyZH13_05G166800	SoyZH13_05G166800.m3	RPLW
SoyZH13_05G173200	SoyZH13_05G173200.m1	AT4G39420
SoyZH13_05G173200	SoyZH13_05G173200.m2	AT4G39420
SoyZH13_05G179901	SoyZH13_05G179901.m1	LOC113853724
SoyZH13_05G183000	SoyZH13_05G183000.m1	11437239
SoyZH13_05G183000	SoyZH13_05G183000.m2	11437239
SoyZH13_05G183000	SoyZH13_05G183000.m3	11437239
SoyZH13_05G183000	SoyZH13_05G183000.m4	11437239
SoyZH13_05G185900	SoyZH13_05G185900.m7	11429154
SoyZH13_05G210600	SoyZH13_05G210600.m1	PFK
SoyZH13_05G220700	SoyZH13_05G220700.m1	100807043
SoyZH13_05G220700	SoyZH13_05G220700.m3	100807043
SoyZH13_05G220700	SoyZH13_05G220700.m8	100807043
SoyZH13_05G225200	SoyZH13_05G225200.m1	GATB
SoyZH13_05G227401	SoyZH13_05G227401.m1	11411172
SoyZH13_06G007200	SoyZH13_06G007200.m1	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m2	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m3	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m4	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m5	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m6	LOC113864305
SoyZH13_06G007200	SoyZH13_06G007200.m7	LOC113864305
SoyZH13_06G008400	SoyZH13_06G008400.m1	PLC3015
SoyZH13_06G008700	SoyZH13_06G008700.m1	PSMC6
SoyZH13_06G034200	SoyZH13_06G034200.m1	PETM
SoyZH13_06G035400	SoyZH13_06G035400.m1	11431804
SoyZH13_06G035400	SoyZH13_06G035400.m2	11431804
SoyZH13_06G035400	SoyZH13_06G035400.m3	11431804
SoyZH13_06G035400	SoyZH13_06G035400.m4	11431804
SoyZH13_06G037400	SoyZH13_06G037400.m1	LHCA5
SoyZH13_06G048200	SoyZH13_06G048200.m1	LOC106764029
SoyZH13_06G056001	SoyZH13_06G056001.m1	100840399
SoyZH13_06G061800	SoyZH13_06G061800.m1	TPR1
SoyZH13_06G061800	SoyZH13_06G061800.m2	TPR1
SoyZH13_06G061800	SoyZH13_06G061800.m3	TPR1
SoyZH13_06G061800	SoyZH13_06G061800.m4	TPR1
SoyZH13_06G061800	SoyZH13_06G061800.m5	TPR1
SoyZH13_06G061800	SoyZH13_06G061800.m6	TPR1
SoyZH13_06G070300	SoyZH13_06G070300.m1	100813647
SoyZH13_06G083300	SoyZH13_06G083300.m1	PFK
SoyZH13_06G083300	SoyZH13_06G083300.m2	PFK
SoyZH13_06G103200	SoyZH13_06G103200.m3	11412638
SoyZH13_06G103200	SoyZH13_06G103200.m4	11412638
SoyZH13_06G103200	SoyZH13_06G103200.m5	11412638
SoyZH13_06G117800	SoyZH13_06G117800.m4	100803335
SoyZH13_06G122800	SoyZH13_06G122800.m1	LOC113866355
SoyZH13_06G122800	SoyZH13_06G122800.m2	LOC113866355
SoyZH13_06G122800	SoyZH13_06G122800.m3	LOC113866355
SoyZH13_06G122800	SoyZH13_06G122800.m4	LOC113866355
SoyZH13_06G122800	SoyZH13_06G122800.m6	LOC113866355
SoyZH13_06G151800	SoyZH13_06G151800.m1	11437239
SoyZH13_06G151800	SoyZH13_06G151800.m2	11437239
SoyZH13_06G151800	SoyZH13_06G151800.m3	11437239
SoyZH13_06G151800	SoyZH13_06G151800.m4	11437239
SoyZH13_06G157000	SoyZH13_06G157000.m1	25501980
SoyZH13_06G165001	SoyZH13_06G165001.m1	GAPDH
SoyZH13_06G165001	SoyZH13_06G165001.m2	GAPDH
SoyZH13_06G170500	SoyZH13_06G170500.m1	CHX15
SoyZH13_06G171100	SoyZH13_06G171100.m1	RAFS
SoyZH13_06G171100	SoyZH13_06G171100.m5	RAFS
SoyZH13_06G175200	SoyZH13_06G175200.m1	SS
SoyZH13_06G178900	SoyZH13_06G178900.m1	MYBP
SoyZH13_06G179400	SoyZH13_06G179400.m1	MED4
SoyZH13_06G179400	SoyZH13_06G179400.m2	MED4
SoyZH13_06G179400	SoyZH13_06G179400.m3	MED4
SoyZH13_06G179400	SoyZH13_06G179400.m4	MED4
SoyZH13_06G179400	SoyZH13_06G179400.m5	MED4
SoyZH13_06G181400	SoyZH13_06G181400.m1	11446575
SoyZH13_06G181400	SoyZH13_06G181400.m2	11446575
SoyZH13_06G181400	SoyZH13_06G181400.m3	11446575
SoyZH13_06G189800	SoyZH13_06G189800.m1	EXO70B1
SoyZH13_06G192800	SoyZH13_06G192800.m1	100806707
SoyZH13_06G192800	SoyZH13_06G192800.m3	100806707
SoyZH13_06G192800	SoyZH13_06G192800.m7	100806707
SoyZH13_06G192800	SoyZH13_06G192800.m8	100806707
SoyZH13_06G192900	SoyZH13_06G192900.m1	100807768
SoyZH13_06G192900	SoyZH13_06G192900.m7	100807768
SoyZH13_06G210900	SoyZH13_06G210900.m1	11430434
SoyZH13_06G210900	SoyZH13_06G210900.m2	11430434
SoyZH13_06G215000	SoyZH13_06G215000.m1	25487263
SoyZH13_06G215000	SoyZH13_06G215000.m2	25487263
SoyZH13_06G215000	SoyZH13_06G215000.m3	25487263
SoyZH13_06G215000	SoyZH13_06G215000.m4	25487263
SoyZH13_06G221700	SoyZH13_06G221700.m1	ARM
SoyZH13_06G224900	SoyZH13_06G224900.m1	11411910
SoyZH13_06G247900	SoyZH13_06G247900.m1	THI1
SoyZH13_06G263600	SoyZH13_06G263600.m1	25492910
SoyZH13_06G263600	SoyZH13_06G263600.m2	25492910
SoyZH13_06G263600	SoyZH13_06G263600.m3	25492910
SoyZH13_06G263600	SoyZH13_06G263600.m4	25492910
SoyZH13_06G266600	SoyZH13_06G266600.m1	100807943
SoyZH13_06G266600	SoyZH13_06G266600.m4	100807943
SoyZH13_06G277100	SoyZH13_06G277100.m1	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m2	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m3	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m4	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m5	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m6	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m7	100791485
SoyZH13_06G277100	SoyZH13_06G277100.m8	100791485
SoyZH13_06G280600	SoyZH13_06G280600.m1	HEART
SoyZH13_06G284500	SoyZH13_06G284500.m1	100815977
SoyZH13_06G284500	SoyZH13_06G284500.m2	100815977
SoyZH13_06G284500	SoyZH13_06G284500.m3	100815977
SoyZH13_06G286100	SoyZH13_06G286100.m2	FOLD
SoyZH13_06G286100	SoyZH13_06G286100.m3	FOLD
SoyZH13_06G286100	SoyZH13_06G286100.m4	FOLD
SoyZH13_07G008400	SoyZH13_07G008400.m1	MED9
SoyZH13_07G008400	SoyZH13_07G008400.m2	MED9
SoyZH13_07G008400	SoyZH13_07G008400.m3	MED9
SoyZH13_07G008400	SoyZH13_07G008400.m4	MED9
SoyZH13_07G008400	SoyZH13_07G008400.m5	MED9
SoyZH13_07G009500	SoyZH13_07G009500.m1	CYP90D2
SoyZH13_07G013500	SoyZH13_07G013500.m1	PFK
SoyZH13_07G019500	SoyZH13_07G019500.m2	25491226
SoyZH13_07G019500	SoyZH13_07G019500.m3	25491226
SoyZH13_07G022600	SoyZH13_07G022600.m1	25491183
SoyZH13_07G027300	SoyZH13_07G027300.m1	COQ5
SoyZH13_07G032700	SoyZH13_07G032700.m1	KATNA1
SoyZH13_07G032700	SoyZH13_07G032700.m2	KATNA1
SoyZH13_07G035900	SoyZH13_07G035900.m1	11429459
SoyZH13_07G035900	SoyZH13_07G035900.m2	11429459
SoyZH13_07G035900	SoyZH13_07G035900.m3	11429459
SoyZH13_07G035900	SoyZH13_07G035900.m4	11429459
SoyZH13_07G035900	SoyZH13_07G035900.m5	11429459
SoyZH13_07G039201	SoyZH13_07G039201.m2	NDK
SoyZH13_07G039201	SoyZH13_07G039201.m5	NDK
SoyZH13_07G039400	SoyZH13_07G039400.m1	LSM1
SoyZH13_07G041100	SoyZH13_07G041100.m2	CIP7
SoyZH13_07G041100	SoyZH13_07G041100.m7	CIP7
SoyZH13_07G054400	SoyZH13_07G054400.m1	25500713
