Gene	mRNA	KEGG
SoyZH13_01G058600	SoyZH13_01G058600.m4	KEGG:R03503
SoyZH13_01G058800	SoyZH13_01G058800.m1	KEGG:R01853;KEGG:R02173;KEGG:R02529;KEGG:R02613
SoyZH13_01G058800	SoyZH13_01G058800.m2	KEGG:R01853;KEGG:R02173;KEGG:R02529;KEGG:R02613
SoyZH13_01G062100	SoyZH13_01G062100.m1	KEGG:R00630
SoyZH13_01G062200	SoyZH13_01G062200.m1	KEGG:R00630
SoyZH13_01G062300	SoyZH13_01G062300.m1	KEGG:R00630
SoyZH13_01G062800	SoyZH13_01G062800.m1	KEGG:R03361
SoyZH13_01G062800	SoyZH13_01G062800.m2	KEGG:R03361
SoyZH13_01G062800	SoyZH13_01G062800.m3	KEGG:R03361
SoyZH13_01G062800	SoyZH13_01G062800.m4	KEGG:R03361
SoyZH13_01G063100	SoyZH13_01G063100.m1	KEGG:R09656;KEGG:R09658
SoyZH13_01G063800	SoyZH13_01G063800.m1	KEGG:R00630
SoyZH13_01G065200	SoyZH13_01G065200.m1	KEGG:R03532
SoyZH13_01G065200	SoyZH13_01G065200.m2	KEGG:R03532
SoyZH13_01G066500	SoyZH13_01G066500.m1	KEGG:R00178
SoyZH13_01G068200	SoyZH13_01G068200.m1	KEGG:R05769
SoyZH13_01G068200	SoyZH13_01G068200.m2	KEGG:R05769
SoyZH13_01G068200	SoyZH13_01G068200.m3	KEGG:R05769
SoyZH13_01G068403	SoyZH13_01G068403.m1	KEGG:R03876
SoyZH13_01G069100	SoyZH13_01G069100.m1	KEGG:R03876
SoyZH13_01G072601	SoyZH13_01G072601.m1	KEGG:R00948
SoyZH13_01G072601	SoyZH13_01G072601.m2	KEGG:R00948
SoyZH13_01G072601	SoyZH13_01G072601.m3	KEGG:R00948
SoyZH13_01G072601	SoyZH13_01G072601.m4	KEGG:R00948
SoyZH13_01G072601	SoyZH13_01G072601.m5	KEGG:R00948
SoyZH13_01G073102	SoyZH13_01G073102.m1	KEGG:R08159;KEGG:R08162
SoyZH13_01G073102	SoyZH13_01G073102.m2	KEGG:R08159;KEGG:R08162
SoyZH13_01G073400	SoyZH13_01G073400.m1	KEGG:R00630
SoyZH13_01G074700	SoyZH13_01G074700.m1	KEGG:R03084;KEGG:R06847
SoyZH13_01G074700	SoyZH13_01G074700.m2	KEGG:R03084;KEGG:R06847
SoyZH13_01G077301	SoyZH13_01G077301.m1	KEGG:R03094
SoyZH13_01G077400	SoyZH13_01G077400.m1	KEGG:R03094
SoyZH13_01G077500	SoyZH13_01G077500.m1	KEGG:R03094
SoyZH13_01G078900	SoyZH13_01G078900.m1	KEGG:R03402
SoyZH13_01G081900	SoyZH13_01G081900.m1	KEGG:R00345
SoyZH13_01G083903	SoyZH13_01G083903.m1	KEGG:R03876
SoyZH13_01G086900	SoyZH13_01G086900.m1	KEGG:R00341
SoyZH13_01G087200	SoyZH13_01G087200.m1	KEGG:R03876
SoyZH13_01G088700	SoyZH13_01G088700.m1	KEGG:R00966
SoyZH13_01G088700	SoyZH13_01G088700.m2	KEGG:R00966
SoyZH13_01G088700	SoyZH13_01G088700.m3	KEGG:R00966
SoyZH13_01G088800	SoyZH13_01G088800.m1	KEGG:R00239;KEGG:R03313
SoyZH13_01G089701	SoyZH13_01G089701.m1	KEGG:R04209
SoyZH13_01G090600	SoyZH13_01G090600.m1	KEGG:R02820
SoyZH13_01G090700	SoyZH13_01G090700.m1	KEGG:R02820
SoyZH13_01G091300	SoyZH13_01G091300.m1	KEGG:R02820
SoyZH13_01G091900	SoyZH13_01G091900.m1	KEGG:R01717
SoyZH13_01G094200	SoyZH13_01G094200.m1	KEGG:R09656;KEGG:R09658
SoyZH13_01G095100	SoyZH13_01G095100.m1	KEGG:R01891;KEGG:R08969
SoyZH13_01G095200	SoyZH13_01G095200.m1	KEGG:R00083
SoyZH13_01G098200	SoyZH13_01G098200.m1	KEGG:R00630
SoyZH13_01G098502	SoyZH13_01G098502.m1	KEGG:R01021;KEGG:R01468
SoyZH13_01G099000	SoyZH13_01G099000.m1	KEGG:R00083
SoyZH13_01G099200	SoyZH13_01G099200.m1	KEGG:R10089
SoyZH13_01G100502	SoyZH13_01G100502.m1	KEGG:R03876
SoyZH13_01G102700	SoyZH13_01G102700.m1	KEGG:R06983
SoyZH13_01G102800	SoyZH13_01G102800.m1	KEGG:R06983
SoyZH13_01G102800	SoyZH13_01G102800.m3	KEGG:R06983
SoyZH13_01G102801	SoyZH13_01G102801.m1	KEGG:R06983
SoyZH13_01G102900	SoyZH13_01G102900.m1	KEGG:R06983
SoyZH13_01G103400	SoyZH13_01G103400.m1	KEGG:R00531
SoyZH13_01G107900	SoyZH13_01G107900.m1	KEGG:R03877
SoyZH13_01G111902	SoyZH13_01G111902.m1	KEGG:R04734
SoyZH13_01G114402	SoyZH13_01G114402.m1	KEGG:R03532
SoyZH13_01G114800	SoyZH13_01G114800.m1	KEGG:R03532
SoyZH13_01G115000	SoyZH13_01G115000.m1	KEGG:R03532
SoyZH13_01G115100	SoyZH13_01G115100.m1	KEGG:R00355
SoyZH13_01G115600	SoyZH13_01G115600.m1	KEGG:R03876
SoyZH13_01G121100	SoyZH13_01G121100.m1	KEGG:R00630
SoyZH13_01G121102	SoyZH13_01G121102.m1	KEGG:R00630
SoyZH13_01G121104	SoyZH13_01G121104.m1	KEGG:R00630
SoyZH13_01G121800	SoyZH13_01G121800.m1	KEGG:R00630
SoyZH13_01G122300	SoyZH13_01G122300.m1	KEGG:R01385
SoyZH13_01G122400	SoyZH13_01G122400.m1	KEGG:R03460
SoyZH13_01G123300	SoyZH13_01G123300.m1	KEGG:R01157
SoyZH13_01G123300	SoyZH13_01G123300.m2	KEGG:R01157
SoyZH13_01G123300	SoyZH13_01G123300.m3	KEGG:R01157
SoyZH13_01G127100	SoyZH13_01G127100.m1	KEGG:R03876
SoyZH13_01G129500	SoyZH13_01G129500.m1	KEGG:R02530
SoyZH13_01G129500	SoyZH13_01G129500.m2	KEGG:R02530
SoyZH13_01G134900	SoyZH13_01G134900.m1	KEGG:R00630
SoyZH13_01G134900	SoyZH13_01G134900.m2	KEGG:R00630
SoyZH13_01G136700	SoyZH13_01G136700.m1	KEGG:R07202
SoyZH13_01G138700	SoyZH13_01G138700.m1	KEGG:R02681
SoyZH13_01G138700	SoyZH13_01G138700.m2	KEGG:R02681
SoyZH13_01G138800	SoyZH13_01G138800.m1	KEGG:R02681
SoyZH13_01G139500	SoyZH13_01G139500.m1	KEGG:R02016
SoyZH13_01G139600	SoyZH13_01G139600.m1	KEGG:R02082
SoyZH13_01G143100	SoyZH13_01G143100.m1	KEGG:R09382
SoyZH13_01G143100	SoyZH13_01G143100.m2	KEGG:R09382
SoyZH13_01G143500	SoyZH13_01G143500.m2	KEGG:R00586
SoyZH13_01G144900	SoyZH13_01G144900.m1	KEGG:R01931
SoyZH13_01G146000	SoyZH13_01G146000.m1	KEGG:R03219
SoyZH13_01G146100	SoyZH13_01G146100.m1	KEGG:R01325
SoyZH13_01G146100	SoyZH13_01G146100.m2	KEGG:R01325
SoyZH13_01G146500	SoyZH13_01G146500.m1	KEGG:R03532
SoyZH13_01G146900	SoyZH13_01G146900.m1	KEGG:R03876
SoyZH13_01G147600	SoyZH13_01G147600.m1	KEGG:R03083
SoyZH13_01G147600	SoyZH13_01G147600.m2	KEGG:R03083
SoyZH13_01G147700	SoyZH13_01G147700.m1	KEGG:R03532
SoyZH13_01G147700	SoyZH13_01G147700.m2	KEGG:R03532
SoyZH13_01G147900	SoyZH13_01G147900.m1	KEGG:R03532
SoyZH13_01G147900	SoyZH13_01G147900.m2	KEGG:R03532
SoyZH13_01G148000	SoyZH13_01G148000.m1	KEGG:R03532
SoyZH13_01G148100	SoyZH13_01G148100.m1	KEGG:R03532
SoyZH13_01G151100	SoyZH13_01G151100.m1	KEGG:R00888
SoyZH13_01G151900	SoyZH13_01G151900.m1	KEGG:R02530
SoyZH13_01G152900	SoyZH13_01G152900.m1	KEGG:R03876
SoyZH13_01G154100	SoyZH13_01G154100.m1	KEGG:R02016
SoyZH13_01G154100	SoyZH13_01G154100.m2	KEGG:R02016
SoyZH13_01G154300	SoyZH13_01G154300.m1	KEGG:R03532
SoyZH13_01G155700	SoyZH13_01G155700.m1	KEGG:R00004
SoyZH13_01G155700	SoyZH13_01G155700.m2	KEGG:R00004
SoyZH13_01G155700	SoyZH13_01G155700.m3	KEGG:R00004
SoyZH13_01G155800	SoyZH13_01G155800.m1	KEGG:R00004
SoyZH13_01G156500	SoyZH13_01G156500.m1	KEGG:R00130;KEGG:R03035
SoyZH13_01G157000	SoyZH13_01G157000.m1	KEGG:R00083
SoyZH13_01G157100	SoyZH13_01G157100.m1	KEGG:R00083
SoyZH13_01G157400	SoyZH13_01G157400.m1	KEGG:R03876
SoyZH13_01G159200	SoyZH13_01G159200.m1	KEGG:R02164
SoyZH13_01G159200	SoyZH13_01G159200.m2	KEGG:R02164
SoyZH13_01G160300	SoyZH13_01G160300.m1	KEGG:R02918
SoyZH13_01G161100	SoyZH13_01G161100.m1	KEGG:R07359
SoyZH13_01G161800	SoyZH13_01G161800.m1	KEGG:R02061
SoyZH13_01G165000	SoyZH13_01G165000.m1	KEGG:R00630
SoyZH13_01G166101	SoyZH13_01G166101.m1	KEGG:R00630
SoyZH13_01G167502	SoyZH13_01G167502.m1	KEGG:R03532
SoyZH13_01G170000	SoyZH13_01G170000.m1	KEGG:R00630
SoyZH13_01G170000	SoyZH13_01G170000.m2	KEGG:R00630
SoyZH13_01G170700	SoyZH13_01G170700.m1	KEGG:R01724;KEGG:R03348
SoyZH13_01G175100	SoyZH13_01G175100.m1	KEGG:R03219
SoyZH13_01G175100	SoyZH13_01G175100.m2	KEGG:R03219
SoyZH13_01G175100	SoyZH13_01G175100.m3	KEGG:R03219
SoyZH13_01G175900	SoyZH13_01G175900.m1	KEGG:R03532
SoyZH13_01G175900	SoyZH13_01G175900.m2	KEGG:R03532
SoyZH13_01G177400	SoyZH13_01G177400.m1	KEGG:R03876
SoyZH13_01G177400	SoyZH13_01G177400.m2	KEGG:R03876
SoyZH13_01G177400	SoyZH13_01G177400.m3	KEGG:R03876
SoyZH13_01G177400	SoyZH13_01G177400.m4	KEGG:R03876
SoyZH13_01G178000	SoyZH13_01G178000.m1	KEGG:R00259
SoyZH13_01G178700	SoyZH13_01G178700.m1	KEGG:R03876
SoyZH13_01G179500	SoyZH13_01G179500.m1	KEGG:R00179
SoyZH13_01G179700	SoyZH13_01G179700.m1	KEGG:R01090;KEGG:R01214;KEGG:R02199
SoyZH13_01G182600	SoyZH13_01G182600.m1	KEGG:R03532
SoyZH13_01G184000	SoyZH13_01G184000.m1	KEGG:R03532
SoyZH13_01G184100	SoyZH13_01G184100.m1	KEGG:R04404
SoyZH13_01G184100	SoyZH13_01G184100.m2	KEGG:R04404
SoyZH13_01G184100	SoyZH13_01G184100.m3	KEGG:R04404
SoyZH13_01G184100	SoyZH13_01G184100.m4	KEGG:R04404
SoyZH13_01G184100	SoyZH13_01G184100.m5	KEGG:R04404
SoyZH13_01G184900	SoyZH13_01G184900.m1	KEGG:R02060;KEGG:R08193
SoyZH13_01G184900	SoyZH13_01G184900.m2	KEGG:R02060;KEGG:R08193
SoyZH13_01G184900	SoyZH13_01G184900.m3	KEGG:R02060;KEGG:R08193
SoyZH13_01G184900	SoyZH13_01G184900.m4	KEGG:R02060;KEGG:R08193
SoyZH13_01G185200	SoyZH13_01G185200.m1	KEGG:R00549;KEGG:R00804
SoyZH13_01G185200	SoyZH13_01G185200.m2	KEGG:R00549;KEGG:R00804
SoyZH13_01G185200	SoyZH13_01G185200.m3	KEGG:R00549;KEGG:R00804
SoyZH13_01G185200	SoyZH13_01G185200.m4	KEGG:R00549;KEGG:R00804
SoyZH13_01G186500	SoyZH13_01G186500.m1	KEGG:R03876
SoyZH13_01G186500	SoyZH13_01G186500.m2	KEGG:R03876
SoyZH13_01G189702	SoyZH13_01G189702.m1	KEGG:R00103
SoyZH13_01G190200	SoyZH13_01G190200.m1	KEGG:R03876
SoyZH13_01G190200	SoyZH13_01G190200.m2	KEGG:R03876
SoyZH13_01G190600	SoyZH13_01G190600.m1	KEGG:R02055
SoyZH13_01G190800	SoyZH13_01G190800.m1	KEGG:R00944
SoyZH13_01G190800	SoyZH13_01G190800.m2	KEGG:R00944
SoyZH13_01G190900	SoyZH13_01G190900.m1	KEGG:R00630;KEGG:R03657
SoyZH13_01G190900	SoyZH13_01G190900.m2	KEGG:R00630;KEGG:R03657
SoyZH13_01G190900	SoyZH13_01G190900.m3	KEGG:R00630;KEGG:R03657
SoyZH13_01G190900	SoyZH13_01G190900.m4	KEGG:R00630;KEGG:R03657
SoyZH13_01G192200	SoyZH13_01G192200.m1	KEGG:R00630
SoyZH13_01G193600	SoyZH13_01G193600.m1	KEGG:R00802
SoyZH13_01G196300	SoyZH13_01G196300.m1	KEGG:R00179;KEGG:R00355
SoyZH13_01G196300	SoyZH13_01G196300.m2	KEGG:R00179;KEGG:R00355
SoyZH13_01G197800	SoyZH13_01G197800.m1	KEGG:R02777;KEGG:R06514
SoyZH13_01G197800	SoyZH13_01G197800.m2	KEGG:R02777;KEGG:R06514
SoyZH13_01G197900	SoyZH13_01G197900.m1	KEGG:R01978
SoyZH13_01G197900	SoyZH13_01G197900.m2	KEGG:R01978
SoyZH13_01G201400	SoyZH13_01G201400.m1	KEGG:R03532
SoyZH13_01G201900	SoyZH13_01G201900.m1	KEGG:R00894
SoyZH13_01G202800	SoyZH13_01G202800.m1	KEGG:R03876
SoyZH13_01G202800	SoyZH13_01G202800.m2	KEGG:R03876
SoyZH13_01G202800	SoyZH13_01G202800.m3	KEGG:R03876
SoyZH13_01G204000	SoyZH13_01G204000.m1	KEGG:R00162
SoyZH13_01G204000	SoyZH13_01G204000.m2	KEGG:R00162
SoyZH13_01G204700	SoyZH13_01G204700.m1	KEGG:R03532
SoyZH13_01G204700	SoyZH13_01G204700.m2	KEGG:R03532
SoyZH13_01G207300	SoyZH13_01G207300.m1	KEGG:R01616;KEGG:R01802
SoyZH13_01G207300	SoyZH13_01G207300.m2	KEGG:R01616;KEGG:R01802
SoyZH13_01G207800	SoyZH13_01G207800.m1	KEGG:R03876
SoyZH13_01G207800	SoyZH13_01G207800.m2	KEGG:R03876
SoyZH13_01G207800	SoyZH13_01G207800.m3	KEGG:R03876
SoyZH13_01G207800	SoyZH13_01G207800.m4	KEGG:R03876
SoyZH13_01G207800	SoyZH13_01G207800.m5	KEGG:R03876
SoyZH13_01G207800	SoyZH13_01G207800.m6	KEGG:R03876
SoyZH13_01G208400	SoyZH13_01G208400.m1	KEGG:R03361
SoyZH13_01G208900	SoyZH13_01G208900.m1	KEGG:R03877
SoyZH13_01G208900	SoyZH13_01G208900.m2	KEGG:R03877
SoyZH13_01G209600	SoyZH13_01G209600.m1	KEGG:R00084
SoyZH13_01G209600	SoyZH13_01G209600.m2	KEGG:R00084
SoyZH13_01G210600	SoyZH13_01G210600.m1	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m10	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m11	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m12	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m13	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m14	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m2	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m3	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m4	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m5	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m6	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m7	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m8	KEGG:R03876
SoyZH13_01G210600	SoyZH13_01G210600.m9	KEGG:R03876
SoyZH13_01G213900	SoyZH13_01G213900.m1	KEGG:R00787
SoyZH13_01G213900	SoyZH13_01G213900.m2	KEGG:R00787
SoyZH13_01G214100	SoyZH13_01G214100.m1	KEGG:R01616
SoyZH13_01G214100	SoyZH13_01G214100.m2	KEGG:R01616
SoyZH13_01G214200	SoyZH13_01G214200.m1	KEGG:R01616
SoyZH13_01G214400	SoyZH13_01G214400.m1	KEGG:R01616
SoyZH13_01G217000	SoyZH13_01G217000.m1	KEGG:R04404
SoyZH13_01G217200	SoyZH13_01G217200.m1	KEGG:R03401
SoyZH13_01G220900	SoyZH13_01G220900.m1	KEGG:R00630
SoyZH13_01G221000	SoyZH13_01G221000.m1	KEGG:R00630
SoyZH13_01G221800	SoyZH13_01G221800.m1	KEGG:R00630
SoyZH13_01G221800	SoyZH13_01G221800.m2	KEGG:R00630
SoyZH13_01G224300	SoyZH13_01G224300.m1	KEGG:R03876
SoyZH13_01G225201	SoyZH13_01G225201.m1	KEGG:R04143
SoyZH13_01G225201	SoyZH13_01G225201.m2	KEGG:R04143
SoyZH13_01G225201	SoyZH13_01G225201.m3	KEGG:R04143
SoyZH13_02G001500	SoyZH13_02G001500.m1	KEGG:R03876
SoyZH13_02G001500	SoyZH13_02G001500.m2	KEGG:R03876
SoyZH13_02G001500	SoyZH13_02G001500.m3	KEGG:R03876
SoyZH13_02G001500	SoyZH13_02G001500.m4	KEGG:R03876
SoyZH13_02G006400	SoyZH13_02G006400.m1	KEGG:R00630
SoyZH13_02G008200	SoyZH13_02G008200.m1	KEGG:R00630
SoyZH13_02G008300	SoyZH13_02G008300.m1	KEGG:R00630
SoyZH13_02G008900	SoyZH13_02G008900.m1	KEGG:R03532
SoyZH13_02G008900	SoyZH13_02G008900.m2	KEGG:R03532
SoyZH13_02G010000	SoyZH13_02G010000.m1	KEGG:R00630
SoyZH13_02G010300	SoyZH13_02G010300.m1	KEGG:R01616
SoyZH13_02G010300	SoyZH13_02G010300.m2	KEGG:R01616
SoyZH13_02G010300	SoyZH13_02G010300.m3	KEGG:R01616
SoyZH13_02G011300	SoyZH13_02G011300.m1	KEGG:R00630
SoyZH13_02G012600	SoyZH13_02G012600.m1	KEGG:R03876
SoyZH13_02G012600	SoyZH13_02G012600.m2	KEGG:R03876
SoyZH13_02G013300	SoyZH13_02G013300.m1	KEGG:R00630
SoyZH13_02G013300	SoyZH13_02G013300.m2	KEGG:R00630
SoyZH13_02G015100	SoyZH13_02G015100.m1	KEGG:R01082
SoyZH13_02G015200	SoyZH13_02G015200.m1	KEGG:R01082
SoyZH13_02G015200	SoyZH13_02G015200.m2	KEGG:R01082
SoyZH13_02G015200	SoyZH13_02G015200.m3	KEGG:R01082
SoyZH13_02G015900	SoyZH13_02G015900.m1	KEGG:R00630
SoyZH13_02G016000	SoyZH13_02G016000.m1	KEGG:R00630
SoyZH13_02G016100	SoyZH13_02G016100.m1	KEGG:R00630
SoyZH13_02G017400	SoyZH13_02G017400.m1	KEGG:R01384
SoyZH13_02G017400	SoyZH13_02G017400.m2	KEGG:R01384
SoyZH13_02G017900	SoyZH13_02G017900.m1	KEGG:R06601
SoyZH13_02G017900	SoyZH13_02G017900.m2	KEGG:R06601
SoyZH13_02G018000	SoyZH13_02G018000.m1	KEGG:R01914;KEGG:R09076
SoyZH13_02G019200	SoyZH13_02G019200.m1	KEGG:R03876
SoyZH13_02G032900	SoyZH13_02G032900.m1	KEGG:R03876
SoyZH13_02G033200	SoyZH13_02G033200.m1	KEGG:R01856
SoyZH13_02G033200	SoyZH13_02G033200.m2	KEGG:R01856
SoyZH13_02G033200	SoyZH13_02G033200.m3	KEGG:R01856
SoyZH13_02G033200	SoyZH13_02G033200.m4	KEGG:R01856
SoyZH13_02G033200	SoyZH13_02G033200.m5	KEGG:R01856
SoyZH13_02G033200	SoyZH13_02G033200.m6	KEGG:R01856
SoyZH13_02G034400	SoyZH13_02G034400.m1	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m10	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m11	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m2	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m3	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m4	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m5	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m6	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m7	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m8	KEGG:R03876
SoyZH13_02G034400	SoyZH13_02G034400.m9	KEGG:R03876
SoyZH13_02G034900	SoyZH13_02G034900.m1	KEGG:R00352
SoyZH13_02G035500	SoyZH13_02G035500.m1	KEGG:R06859
SoyZH13_02G036300	SoyZH13_02G036300.m1	KEGG:R03532
SoyZH13_02G036500	SoyZH13_02G036500.m1	KEGG:R01049
SoyZH13_02G036500	SoyZH13_02G036500.m2	KEGG:R01049
SoyZH13_02G036600	SoyZH13_02G036600.m1	KEGG:R00258
SoyZH13_02G036600	SoyZH13_02G036600.m2	KEGG:R00258
SoyZH13_02G036600	SoyZH13_02G036600.m3	KEGG:R00258
SoyZH13_02G036600	SoyZH13_02G036600.m4	KEGG:R00258
SoyZH13_02G036600	SoyZH13_02G036600.m5	KEGG:R00258
SoyZH13_02G037000	SoyZH13_02G037000.m1	KEGG:R01853;KEGG:R02173;KEGG:R02529;KEGG:R02613
SoyZH13_02G037000	SoyZH13_02G037000.m2	KEGG:R01853;KEGG:R02173;KEGG:R02529;KEGG:R02613
SoyZH13_02G040200	SoyZH13_02G040200.m1	KEGG:R00586
SoyZH13_02G040400	SoyZH13_02G040400.m1	KEGG:R01616;KEGG:R04030
SoyZH13_02G040400	SoyZH13_02G040400.m2	KEGG:R01616;KEGG:R04030
SoyZH13_02G040401	SoyZH13_02G040401.m1	KEGG:R03738
SoyZH13_02G040402	SoyZH13_02G040402.m1	KEGG:R03738
SoyZH13_02G040402	SoyZH13_02G040402.m2	KEGG:R03738
SoyZH13_02G042100	SoyZH13_02G042100.m1	KEGG:R03219
SoyZH13_02G042200	SoyZH13_02G042200.m1	KEGG:R03219
SoyZH13_02G043200	SoyZH13_02G043200.m1	KEGG:R03532
SoyZH13_02G046801	SoyZH13_02G046801.m1	KEGG:R07606
SoyZH13_02G049700	SoyZH13_02G049700.m1	KEGG:R03532
SoyZH13_02G049701	SoyZH13_02G049701.m1	KEGG:R03532
SoyZH13_02G049900	SoyZH13_02G049900.m1	KEGG:R03876
SoyZH13_02G051102	SoyZH13_02G051102.m2	KEGG:R04640
SoyZH13_02G051102	SoyZH13_02G051102.m3	KEGG:R04640
SoyZH13_02G051102	SoyZH13_02G051102.m4	KEGG:R04640
SoyZH13_02G051700	SoyZH13_02G051700.m1	KEGG:R00630
SoyZH13_02G052000	SoyZH13_02G052000.m1	KEGG:R03876
SoyZH13_02G052000	SoyZH13_02G052000.m2	KEGG:R03876
